Kt*_C_NA_Cha,ΔKt*_C_NA_Cha,Kt*_Cy_NA_Cha,ΔKt*_Cy_NA_Cha,Kt*_I_NA_Cha,ΔKt*_I_NA_Cha,Kt*_AD_NA_Cha,ΔKt*_AD_NA_Cha
0.8978,-0.0054,0.0343,0.0104,0.8630,-0.1406,0.8978,-0.0054
0.8925,-0.0352,0.0447,0.0085,0.7224,0.0298,0.8925,-0.0352
0.8572,0.0019,0.0533,0.0099,0.7521,0.1718,0.8572,0.0019
0.8592,0.0122,0.0632,0.0055,0.9239,-0.9239,0.8592,0.0122
0.8714,-0.0060,0.0686,0.0173,0.0090,0.0626,0.8714,-0.0060
0.8654,0.0275,0.0859,-0.0245,0.0716,0.0625,0.8654,0.0275
0.8930,0.0376,0.0614,-0.0337,0.1341,0.0341,0.8930,0.0376
0.9306,0.0115,0.0277,-0.0129,0.1682,0.0253,0.9306,0.0115
0.9421,-0.0261,0.0148,-0.0023,0.1935,0.0300,0.9421,-0.0261
0.9160,0.0066,0.0126,-0.0009,0.2235,0.0443,0.9160,0.0066
0.9226,0.0067,0.0116,-0.0016,0.2678,0.0531,0.9226,0.0067
0.9293,0.0048,0.0100,-0.0070,0.3209,0.0047,0.9293,0.0048
0.9340,0.0152,0.0030,-0.0030,0.3256,-0.1249,0.9340,0.0152
0.9492,0.0300,0.2998,-0.0517,0.2008,-0.1035,0.9492,0.0300
0.9792,-0.9792,0.2481,-0.0408,0.0972,-0.0322,0.9792,-0.9792
0.3236,0.1658,0.2073,-0.0162,0.0650,-0.0122,0.3236,0.1658
0.4894,0.1409,0.1911,0.0195,0.0528,-0.0042,0.4894,0.1409
0.6302,0.0815,0.2105,0.0342,0.0486,-0.0043,0.6302,0.0815
0.7117,0.0455,0.2447,0.0191,0.0443,-0.0032,0.7117,0.0455
0.7572,0.0320,0.2638,0.0152,0.0412,0.0004,0.7572,0.0320
0.7892,0.0253,0.2790,0.0227,0.0415,0.0032,0.7892,0.0253
0.8146,0.0230,0.3017,0.0588,0.0447,0.0044,0.8146,0.0230
0.8376,0.0092,0.3606,-0.0353,0.0491,0.0049,0.8376,0.0092
0.8468,0.0042,0.3252,0.0003,0.0539,0.0028,0.8468,0.0042
0.8511,0.0257,0.3255,0.1196,0.0567,0.0041,0.8511,0.0257
0.8768,0.0072,0.4451,0.0854,0.0608,0.0083,0.8768,0.0072
0.8840,0.0055,0.5305,0.3878,0.0691,0.0080,0.8840,0.0055
0.8895,0.0057,0.9184,-0.4570,0.0770,0.0051,0.8895,0.0057
0.8951,-0.0016,0.4613,0.1598,0.0821,0.0080,0.8951,-0.0016
0.8936,0.0032,0.6212,-0.6212,0.0902,0.0076,0.8936,0.0032
0.8967,0.0057,0.6975,0.0541,0.0977,0.0079,0.8967,0.0057
0.9025,0.0045,0.7516,-0.1192,0.1057,0.0121,0.9025,0.0045
0.9070,-0.0042,0.6323,-0.0238,0.1178,0.0150,0.9070,-0.0042
0.9028,0.0205,0.6086,0.1353,0.1327,0.0202,0.9028,0.0205
0.9233,0.0006,0.7439,-0.0950,0.1529,0.0430,0.9233,0.0006
0.9239,-0.4049,0.6488,0.0253,0.1959,0.0804,0.9239,-0.4049
0.5190,0.0961,0.6741,-0.6741,0.2763,0.1105,0.5190,0.0961
0.6151,0.0637,0.4176,-0.1903,0.3867,0.2643,0.6151,0.0637
0.6788,-0.0478,0.2273,-0.0158,0.6510,-0.1303,0.6788,-0.0478
0.6310,0.0010,0.2115,0.0949,0.5208,0.0465,0.6310,0.0010
0.6320,-0.3219,0.3064,-0.0241,0.5672,0.0633,0.6320,-0.3219
0.3101,0.3267,0.2823,-0.0913,0.6305,0.2442,0.3101,0.3267
0.6368,-0.3856,0.1910,-0.0540,0.8748,-0.2382,0.6368,-0.3856
0.2512,0.5776,0.1371,-0.0186,0.6366,0.0966,0.2512,0.5776
0.8288,-0.2344,0.1185,-0.0166,0.7332,-0.0625,0.8288,-0.2344
0.5945,0.0424,0.1018,0.0040,0.6707,0.0586,0.5945,0.0424
0.6368,-0.2978,0.1058,0.0020,0.7293,-0.1102,0.6368,-0.2978
0.3391,-0.0633,0.1078,0.0059,0.6191,0.0628,0.3391,-0.0633
0.2757,0.0293,0.1137,0.0042,0.6819,-0.1179,0.2757,0.0293
0.3050,0.5303,0.1179,-0.0126,0.5640,0.0134,0.3050,0.5303
0.8353,0.1209,0.1053,-0.0196,0.5774,0.1224,0.8353,0.1209
0.9562,-0.9562,0.0857,-0.0128,0.6998,-0.6998,0.9562,-0.9562
0.7992,-0.2085,0.0729,-0.0128,0.9955,-0.2150,0.7992,-0.2085
0.5907,-0.2388,0.0601,-0.0059,0.7805,0.0994,0.5907,-0.2388
0.3519,0.0342,0.0542,-0.0048,0.8799,0.0402,0.3519,0.0342
0.3861,0.0680,0.0494,-0.0019,0.9201,-0.2304,0.3861,0.0680
0.4541,0.5304,0.0475,0.0018,0.6897,-0.0363,0.4541,0.5304
0.9845,-0.0339,0.0492,0.0085,0.6534,0.1163,0.9845,-0.0339
0.9506,-0.0497,0.0577,-0.0004,0.7697,-0.0075,0.9506,-0.0497
0.9010,0.0965,0.0572,0.0082,0.7622,0.2328,0.9010,0.0965
0.9975,-0.4024,0.0654,0.0295,0.9950,-0.0638,0.9975,-0.4024
0.5951,-0.5951,0.0949,0.0426,0.9312,0.0301,0.5951,-0.5951
0.6551,0.2073,0.1375,0.0382,0.9612,0.0131,0.6551,0.2073
0.8624,-0.3452,0.1757,0.0010,0.9743,-0.0012,0.8624,-0.3452
0.5172,0.4503,0.1767,0.0377,0.9731,0.0307,0.5172,0.4503
0.9607,0.0180,0.2961,0.0577,0.9546,-0.2549,0.9607,0.0180
0.9787,0.0251,0.3537,0.0160,0.6998,0.1443,0.9787,0.0251
0.6809,0.2498,0.3870,0.0401,0.8817,-0.8817,0.6809,0.2498
0.9307,0.0415,0.4271,0.0161,0.0160,0.0989,0.9307,0.0415
0.9721,-0.0248,0.4432,0.0068,0.1148,0.0981,0.9721,-0.0248
0.9473,-0.0706,0.4500,0.0363,0.2129,0.0225,0.9473,-0.0706
0.8767,0.0561,0.4863,0.0629,0.2354,0.0056,0.8767,0.0561
0.9328,-0.0495,0.5492,0.0439,0.2410,0.0194,0.9328,-0.0495
0.8833,0.0170,0.5931,0.0612,0.2604,0.0095,0.8833,0.0170
0.9002,-0.9002,0.6543,0.0886,0.2699,-0.0010,0.9002,-0.9002
0.9688,-0.0426,0.7429,0.1278,0.2688,0.0005,0.9688,-0.0426
0.9262,-0.9262,0.8708,0.1016,0.2693,0.0169,0.9262,-0.9262
0.2318,0.0518,0.9724,0.0099,0.2862,0.0301,0.2318,0.0518
0.2836,0.0184,0.9823,-0.9823,0.3163,0.0266,0.2836,0.0184
