Time,GHI_1_Jun_Pe,GHI_2_Jun_Pe,GHI_3_Jun_Pe,GHI_4_Jun_Pe,GHI_5_Jun_Pe,GHI_6_Jun_Pe,GHI_7_Jun_Pe,GHI_8_Jun_Pe,GHI_9_Jun_Pe,GHI_10_Jun_Pe,GHI_11_Jun_Pe,GHI_12_Jun_Pe,GHI_13_Jun_Pe,GHI_14_Jun_Pe,GHI_15_Jun_Pe,GHI_16_Jun_Pe,GHI_17_Jun_Pe,GHI_18_Jun_Pe,GHI_19_Jun_Pe,GHI_20_Jun_Pe,GHI_21_Jun_Pe,GHI_22_Jun_Pe,GHI_23_Jun_Pe,GHI_24_Jun_Pe,GHI_25_Jun_Pe,GHI_26_Jun_Pe,GHI_27_Jun_Pe,GHI_28_Jun_Pe,GHI_29_Jun_Pe,GHI_30_Jun_Pe
12:30:00,645.4,650.6,667.6,672.6,663.5,532.9,648.4,651.1,651.1,539.4,623.1,287.2,663.1,642.3,642.3,499.3,292.7,660.8,668,669.4,376.5,660.8,665.3,661.7,663.5,655.9,638.4,481.1,441.5,633.7
12:40:00,631.1,643.6,657.7,659.9,652.8,384.8,641,621.4,637.6,553.1,550.1,530.7,653.3,632.4,633.3,657.3,482.4,670.8,636.7,654.6,352.6,651.5,655.1,652.4,655.1,570.6,629.8,607.2,453,638.4
12:50:00,620.1,630.7,644.9,646.7,641.5,412.6,624.3,629.8,623.9,546.4,261.1,294.7,641,620.5,621.8,653.7,361.8,541.2,521.1,641.5,762.8,639.7,643.2,640.6,643.2,572.9,618.8,589,453,612.2
13:00:00,602.7,615.1,631.1,632.8,629.4,416.8,610.9,594.2,608.5,589,478.8,561.8,628.1,607.6,608.1,575.2,249.7,584.6,683.6,628.1,478.5,626,629.8,627.7,629.8,499,605.6,559.9,365.7,597
13:10:00,586.6,600.7,615.9,615.9,612.6,317.5,593.8,595.4,590.2,557.2,391.6,675.3,613.4,593,593,436.4,178.7,647.1,511,615.1,621.4,611.4,615.9,612.6,615.1,585.4,591.8,572.9,310.1,581.9
13:20:00,572.1,579.5,597.8,597,595,353.6,578,578.3,571.3,536.8,504.4,668,596.6,576,575.2,606.4,334.9,454.2,638,598.7,622.2,595,599.9,596.6,598.7,452,575.2,426.5,349.5,564.8
13:30:00,553.8,558.7,578.3,577.2,577.6,500,560.2,558,552,537.2,758.2,615.9,577.6,557.6,557.6,595.8,444.8,513.4,603.5,578.3,659.5,577.2,581.9,578.7,580.7,277.7,557.2,525.3,519.3,547.5
13:40:00,533.9,536.8,556.8,555.7,555.3,449,542,538.3,532.5,564.4,598.3,546,558.3,538.3,537.2,546.7,356.9,563.7,606.8,558.7,609.3,558,562.9,560.2,561.8,352.8,537.9,379.3,467,528.9
13:50:00,511.7,508.2,535.4,532.5,531.8,464.8,519.7,519.7,507.2,426.5,476.6,500,536.8,517.6,516.5,604.8,315.1,547.1,545.3,537.2,492.3,537.6,542,539.4,540.9,489.3,516.9,432.3,363.5,508.5
14:00:00,490.6,493,512,507.2,509.6,447.5,498.7,494,484,361.8,490,485.7,514.1,495,493.6,387.7,487.6,523.6,402.6,514.4,365.7,515.1,520.7,517.2,518.6,427.3,496,524.3,410.3,489.6
