Kt*_C_A_Nzi,ΔKt*_C_A_Nzi,Kt*_Cy_A_Nzi,ΔKt*_Cy_A_Nzi,Kt*_I_A_Nzi,ΔKt*_I_A_Nzi,Kt*_AD_A_Nzi,ΔKt*_AD_A_Nzi
0.7728,0.0640,0.7734,0.1894,0.9865,-0.0288,0.7728,0.0640
0.8368,-0.2175,0.9629,-0.0148,0.9577,0.0228,0.8368,-0.2175
0.7103,-0.0391,0.9483,-0.0076,0.9805,0.0005,0.7103,-0.0391
0.6712,-0.1036,0.9407,0.0166,0.9809,-0.0769,0.6712,-0.1036
0.5676,0.4092,0.9573,-0.0220,0.9040,0.0407,0.5676,0.4092
0.9768,-0.9768,0.9353,-0.0194,0.9448,-0.0480,0.9768,-0.9768
0.8144,0.1795,0.9159,0.0095,0.8968,0.0543,0.8144,0.1795
0.9939,-0.9939,0.9254,0.0095,0.9511,0.0422,0.9939,-0.9939
0.9858,-0.0079,0.9349,0.0057,0.9933,-0.0417,0.9858,-0.0079
0.9778,0.0121,0.9406,0.0098,0.9516,-0.1288,0.9778,0.0121
0.9899,-0.0008,0.9504,-0.0352,0.8228,-0.0300,0.9899,-0.0008
0.9891,-0.0043,0.9152,0.0266,0.7928,0.1364,0.9891,-0.0043
0.9848,-0.0013,0.9418,-0.3051,0.9292,-0.3838,0.9848,-0.0013
0.9835,0.0027,0.6367,-0.4159,0.5455,0.3302,0.9835,0.0027
0.9862,-0.0005,0.2208,-0.0209,0.8757,-0.2114,0.9862,-0.0005
0.9856,-0.0028,0.1999,0.0175,0.6643,0.0683,0.9856,-0.0028
0.9828,-0.0806,0.2174,-0.0022,0.7326,0.1002,0.9828,-0.0806
0.9022,-0.1538,0.2153,-0.0297,0.8327,-0.2755,0.9022,-0.1538
0.7484,0.0430,0.1855,-0.0263,0.5572,0.1152,0.7484,0.0430
0.7914,0.0957,0.1592,-0.0440,0.6724,0.0014,0.7914,0.0957
0.8871,-0.0834,0.1152,0.0093,0.6738,0.0079,0.8871,-0.0834
0.8037,-0.0491,0.1246,0.0012,0.6817,-0.1231,0.8037,-0.0491
0.7546,-0.0934,0.1258,-0.0118,0.5586,-0.1874,0.7546,-0.0934
0.6612,-0.1402,0.1141,-0.0256,0.3713,0.0721,0.6612,-0.1402
0.5211,-0.1242,0.0884,-0.0129,0.4433,0.4470,0.5211,-0.1242
0.3969,-0.1316,0.0755,-0.0219,0.8903,-0.1365,0.3969,-0.1316
0.2652,-0.1391,0.0536,-0.0171,0.7538,-0.1904,0.2652,-0.1391
0.7534,-0.7534,0.0365,-0.0147,0.5635,-0.1895,0.7534,-0.7534
0.8471,-0.8471,0.0218,-0.0218,0.3740,-0.1626,0.8471,-0.8471
0.9927,-0.9927,0.9934,-0.5836,0.2114,0.0290,0.9927,-0.9927
0.9643,0.0373,0.4098,-0.1924,0.2404,-0.0536,0.9643,0.0373
0.9984,-0.0058,0.2174,0.1206,0.1868,-0.1087,0.9984,-0.0058
0.9926,-0.0057,0.3381,0.1512,0.0781,-0.0484,0.9926,-0.0057
0.9869,-0.0030,0.4893,0.1584,0.0297,-0.0297,0.9869,-0.0030
0.9839,-0.0030,0.6477,-0.6477,0.9014,-0.2664,0.9839,-0.0030
0.9750,-0.0018,0.9505,-0.9505,0.9107,-0.9107,0.9750,-0.0018
0.9732,-0.0005,0.8193,-0.0805,0.9564,-0.5495,0.9732,-0.0005
0.9727,0.0054,0.7388,0.1469,0.4069,-0.0645,0.9727,0.0054
0.9781,0.0022,0.8857,-0.8857,0.3424,0.2525,0.9781,0.0022
0.9803,-0.0031,0.7939,-0.0172,0.5949,-0.5949,0.9803,-0.0031
0.9772,0.0037,0.7766,-0.3562,0.6045,0.3609,0.9772,0.0037
0.9809,0.0006,0.4204,-0.1049,0.9654,-0.9654,0.9809,0.0006
0.9815,-0.0012,0.3155,-0.1518,0.6604,-0.1743,0.9815,-0.0012
0.9802,-0.0029,0.5058,0.1444,0.4861,0.1684,0.9802,-0.0029
0.9773,-0.0032,0.6502,-0.2556,0.6546,0.1651,0.9773,-0.0032
0.9741,-0.0013,0.3946,-0.1322,0.8197,0.0999,0.9741,-0.0013
0.9728,0.0013,0.2624,-0.0447,0.9197,0.0633,0.9728,0.0013
0.9741,-0.0019,0.2177,0.1349,0.9829,0.0190,0.9741,-0.0019
0.9699,-0.0025,0.6569,-0.1436,0.9754,-0.9754,0.9699,-0.0025
0.9660,-0.0056,0.3063,0.0286,0.9966,-0.0039,0.9660,-0.0056
0.9604,-0.0027,0.3349,0.0969,0.9928,-0.0037,0.9604,-0.0027
0.9578,-0.0060,0.4318,-0.0046,0.9891,-0.0013,0.9578,-0.0060
0.9517,-0.0075,0.4272,-0.1435,0.9877,-0.0017,0.9517,-0.0075
0.9443,-0.0063,0.2837,-0.0378,0.9860,-0.0022,0.9443,-0.0063
0.9380,-0.0117,0.2459,0.1103,0.9838,-0.0005,0.9380,-0.0117
0.9263,-0.0041,0.3562,0.0443,0.9833,-0.0041,0.9263,-0.0041
0.9222,-0.0027,0.4005,0.1842,0.9792,-0.0030,0.9222,-0.0027
0.9195,-0.0087,0.5846,0.1715,0.9762,-0.0013,0.9195,-0.0087
0.9108,-0.0113,0.7561,-0.1657,0.9749,-0.0033,0.9108,-0.0113
0.8994,-0.0185,0.5904,-0.2333,0.9716,-0.0033,0.8994,-0.0185
0.8810,-0.0250,0.3571,0.2297,0.9683,-0.0043,0.8810,-0.0250
0.8560,-0.0248,0.5868,0.0483,0.9639,-0.0029,0.8560,-0.0248
0.8312,-0.0413,0.6351,-0.2190,0.9611,-0.0037,0.8312,-0.0413
0.7899,-0.0367,0.4161,0.0930,0.9573,-0.0051,0.7899,-0.0367
0.7531,-0.0828,0.5092,0.4664,0.9522,-0.0074,0.7531,-0.0828
0.6703,-0.2052,0.9756,-0.9756,0.9448,-0.0087,0.6703,-0.2052
0.4651,-0.1251,0.8765,-0.8765,0.9361,-0.0082,0.4651,-0.1251
0.3400,-0.1131,0.9281,-0.9281,0.9279,-0.0075,0.3400,-0.1131
0.2268,-0.0737,0.8594,-0.8594,0.9203,-0.0042,0.2268,-0.0737
0.4253,0.3796,0.9911,-0.9911,0.9161,-0.0059,0.4253,0.3796
0.8048,-0.8048,0.6912,-0.1141,0.9102,-0.0084,0.8048,-0.8048
0.9979,-0.0120,0.5772,0.1335,0.9019,-0.0112,0.9979,-0.0120
0.9860,-0.0036,0.7107,0.1318,0.8906,-0.0096,0.9860,-0.0036
0.9823,-0.0071,0.8425,-0.3615,0.8810,-0.0171,0.9823,-0.0071
0.9753,-0.0212,0.4810,0.0713,0.8639,-0.0146,0.9753,-0.0212
0.9541,-0.5403,0.5522,-0.5522,0.8493,-0.0202,0.9541,-0.5403
0.4138,-0.0686,0.9965,0.0036,0.8291,-0.0225,0.4138,-0.0686
0.3726,-0.0619,0.9238,0.0441,0.7760,-0.0341,0.3726,-0.0619
0.3107,-0.0152,0.9679,-0.0070,0.7419,-0.0528,0.3107,-0.0152
0.2954,-0.1689,0.9609,0.0173,0.6891,-0.0564,0.2954,-0.1689
0.9973,-0.0050,0.9782,-0.0815,0.6328,-0.1059,0.9973,-0.0050
0.9923,-0.0090,0.8966,-0.8966,0.5268,-0.1426,0.9923,-0.0090
0.9833,-0.0161,0.9899,-0.0088,0.3843,-0.1521,0.9833,-0.0161
0.9672,0.0241,0.9811,-0.0018,0.2322,-0.0967,0.9672,0.0241
0.9913,-0.0282,0.9793,0.0089,0.1354,-0.0514,0.9913,-0.0282
0.9631,0.0107,0.9882,-0.1659,0.0840,-0.0840,0.9631,0.0107
0.9737,0.0208,0.8222,0.1279,0.9090,0.0403,0.9737,0.0208
0.9945,-0.0133,0.9501,-0.1219,0.9493,-0.9493,0.9945,-0.0133
0.9813,0.0116,0.8282,-0.0231,0.8885,0.0138,0.9813,0.0116
0.9929,-0.0024,0.8052,0.1629,0.9023,-0.9023,0.9929,-0.0024
0.9905,-0.0188,0.9681,-0.0353,0.9989,-0.1492,0.9905,-0.0188
0.9870,-0.9870,0.8602,0.0242,0.9322,-0.9322,0.9870,-0.9870
0.9638,0.0204,0.8843,-0.0807,0.9879,-0.9879,0.9638,0.0204
0.9981,-0.0178,0.1324,0.0063,0.9926,-0.0026,0.9981,-0.0178
0.9803,-0.1073,0.8827,0.1179,0.9900,-0.0056,0.9803,-0.1073
0.9888,-0.0154,0.6249,-0.0781,0.9797,-0.0051,0.9888,-0.0154
0.9734,0.0078,0.5469,-0.1087,0.9746,-0.0048,0.9734,0.0078
0.9813,-0.0015,0.4382,-0.0963,0.9698,-0.0033,0.9813,-0.0015
0.9797,-0.0199,0.3419,0.0068,0.9666,-0.0069,0.9797,-0.0199
0.9598,-0.0815,0.3487,0.0877,0.9597,-0.0065,0.9598,-0.0815
0.8784,-0.0362,0.4364,0.0987,0.9532,-0.0132,0.8784,-0.0362
0.8421,-0.1747,0.5350,0.2210,0.9399,-0.0014,0.8421,-0.1747
0.6674,0.2253,0.7560,-0.1032,0.9385,-0.0116,0.6674,0.2253
0.8927,-0.8927,0.6528,-0.0148,0.9269,-0.0012,0.8927,-0.8927
0.8940,-0.0934,0.6381,-0.6381,0.9257,-0.0123,0.8940,-0.0934
0.8006,-0.2246,0.8797,-0.0482,0.9133,-0.0171,0.8006,-0.2246
0.5761,-0.1299,0.8316,0.0412,0.8962,-0.0077,0.5761,-0.1299
0.4461,-0.1875,0.8728,0.0803,0.8885,-0.0032,0.4461,-0.1875
0.7059,-0.6529,0.9531,-0.0724,0.8852,-0.0199,0.7059,-0.6529
0.0530,0.2022,0.8807,0.1200,0.8653,-0.0230,0.0530,0.2022
0.7560,0.0579,0.9535,-0.9535,0.8183,-0.0136,0.7560,0.0579
0.8139,-0.1481,0.9821,-0.1251,0.8048,-0.0102,0.8139,-0.1481
0.6657,0.2797,0.8571,-0.0243,0.7946,0.0063,0.6657,0.2797
0.9454,0.0445,0.8327,-0.8327,0.8009,-0.0457,0.9454,0.0445
0.9899,-0.0020,0.9279,0.0172,0.7552,0.0203,0.9899,-0.0020
0.9879,-0.0053,0.9452,0.0348,0.7755,-0.0098,0.9879,-0.0053
0.9826,-0.0081,0.9800,-0.0606,0.7657,-0.0181,0.9826,-0.0081
0.9745,-0.0009,0.9194,0.0729,0.7476,0.0055,0.9745,-0.0009
0.9736,-0.0022,0.9922,-0.0147,0.7531,-0.0237,0.9736,-0.0022
0.9714,0.0023,0.9775,-0.0697,0.7294,-0.0174,0.9714,0.0023
0.9737,-0.0017,0.9079,-0.9079,0.7120,-0.0166,0.9737,-0.0017
0.9721,0.0010,0.9719,-0.2031,0.6954,-0.0208,0.9721,0.0010
0.9731,-0.0010,0.7688,-0.1482,0.6747,-0.0277,0.9731,-0.0010
0.9721,0.0005,0.6206,-0.0119,0.6470,-0.0341,0.9721,0.0005
0.9726,-0.0034,0.6087,-0.0097,0.6129,-0.0642,0.9726,-0.0034
0.9692,0.0022,0.5991,-0.0352,0.5486,-0.0527,0.9692,0.0022
0.9714,-0.0075,0.5638,-0.0168,0.4959,-0.0614,0.9714,-0.0075
0.9639,-0.0116,0.5470,-0.0256,0.4345,-0.1034,0.9639,-0.0116
0.9524,0.0110,0.5215,0.0492,0.3311,-0.1135,0.9524,0.0110
0.9634,-0.0021,0.5707,0.1148,0.2176,-0.0951,0.9634,-0.0021
0.9612,0.0026,0.6855,0.0046,0.1225,-0.0828,0.9612,0.0026
0.9638,-0.0037,0.6900,0.0273,0.0397,-0.0397,0.9638,-0.0037
0.9601,-0.0194,0.7173,0.0295,0.7231,-0.0014,0.9601,-0.0194
0.9407,0.0068,0.7468,-0.0478,0.7217,-0.0328,0.9407,0.0068
0.9476,-0.0051,0.6990,-0.0760,0.6889,-0.1152,0.9476,-0.0051
0.9425,0.0049,0.6230,0.1184,0.5737,-0.0425,0.9425,0.0049
0.9474,-0.0019,0.7414,-0.0202,0.5312,0.0072,0.9474,-0.0019
