Time,GHI_1_Feb_MPT_1,GHI_2_Feb_MPT_1,GHI_3_Feb_MPT_1,GHI_4_Feb_MPT_1,GHI_5_Feb_MPT_1,GHI_6_Feb_MPT_1,GHI_7_Feb_MPT_1,GHI_8_Feb_MPT_1,GHI_9_Feb_MPT_1,GHI_10_Feb_MPT_1,GHI_11_Feb_MPT_1,GHI_12_Feb_MPT_1,GHI_13_Feb_MPT_1,GHI_14_Feb_MPT_1,GHI_15_Feb_MPT_1,GHI_16_Feb_MPT_1,GHI_17_Feb_MPT_1,GHI_18_Feb_MPT_1,GHI_19_Feb_MPT_1,GHI_20_Feb_MPT_1,GHI_21_Feb_MPT_1,GHI_22_Feb_MPT_1,GHI_23_Feb_MPT_1,GHI_24_Feb_MPT_1,GHI_25_Feb_MPT_1,GHI_26_Feb_MPT_1,GHI_27_Feb_MPT_1,GHI_28_Feb_MPT_1,GHI_29_Feb_MPT_1
7:03:00,250.2830,114.9625,135.3205,184.4191,168.8512,,,168.8512,177.2339,197.5918,,,,,69.1928,248.8281,240.8443,177.2339,87.8217,53.2253,106.4505,,,,214.2317,198.2641,,238.1831,127.7406
7:04:00,256.2706,114.9625,131.7279,223.9374,114.9625,,,114.9625,228.7275,202.3820,,,,,69.1928,252.8200,242.1750,228.7275,95.8055,54.5559,105.1199,,,,218.2236,202.2560,,238.1831,135.7244
7:05:00,259.8632,111.3700,126.9378,324.5296,150.8883,,,150.8883,238.3077,201.1844,,,,,69.1928,258.1426,244.8362,238.3077,97.1361,55.8865,106.4505,,,,223.5461,203.5866,,238.1831,142.3776
7:06:00,262.2583,113.7650,123.3452,401.1713,126.9378,,,126.9378,231.1226,172.4438,,,,,67.8622,260.8038,246.1669,231.1226,97.1361,61.2091,109.1118,,,,226.2074,202.2560,,242.1750,145.0389
7:07:00,267.0484,114.9625,124.5427,385.6035,110.1724,,,110.1724,257.4682,195.1968,,,,,63.8703,264.7957,248.8281,257.4682,95.8055,61.2091,115.7650,,,,231.5299,196.9335,,246.1669,142.3776
7:08:00,270.6410,116.1601,126.9378,380.8134,125.7403,,,125.7403,210.7646,209.5671,,,,,59.8784,267.4569,252.8200,210.7646,90.4830,63.8703,123.7487,,,,235.5218,187.6191,,247.4975,142.3776
7:09:00,276.6286,116.1601,125.7403,168.8512,116.1601,,,116.1601,166.4562,216.7523,,,,,61.2091,272.7795,256.8119,166.4562,85.1604,65.2010,130.4019,,,,238.1831,179.6353,,251.4894,147.7001
7:10:00,280.2212,122.1477,122.1477,263.4558,120.9502,,,120.9502,251.4805,219.1473,,,,,61.2091,274.1101,256.8119,251.4805,79.8379,69.1928,137.0551,,,,243.5056,174.3127,,252.8200,150.3614
7:11:00,282.6162,124.5427,124.5427,267.0484,142.5056,,,142.5056,288.6039,223.9374,,,,,62.5397,279.4327,264.7957,288.6039,75.8460,65.2010,141.0470,,,,246.1669,170.3209,,258.1426,153.0226
7:12:00,286.2088,128.1353,128.1353,299.3816,301.7766,,,301.7766,296.9865,223.9374,,,,,65.2010,282.0939,268.7876,296.9865,74.5154,61.2091,143.7082,,,,250.1587,171.6515,,263.4651,159.6758
7:13:00,289.8014,132.9254,123.3452,274.2335,304.1717,,,304.1717,296.9865,229.9251,,,,,67.8622,286.0858,274.1101,296.9865,77.1766,57.2172,146.3695,,,,254.1506,175.6434,,267.4569,166.3290
7:14:00,294.5915,140.1106,112.5675,180.8265,258.6657,,,258.6657,300.5791,235.9127,,,,,70.5235,290.0777,278.1020,300.5791,75.8460,53.2253,149.0308,,,,258.1426,178.3046,,268.7876,164.9983
7:15:00,295.7890,146.0982,107.7774,190.4067,354.4678,,,354.4678,302.9742,239.5053,,,,,74.5154,294.0696,280.7633,302.9742,71.8541,51.8946,151.6920,,,,262.1344,172.9821,,274.1101,157.0145
7:16:00,302.9742,155.6784,105.3823,249.0855,318.5420,,,318.5420,307.7643,247.8880,,,,,82.4992,299.3921,287.4164,307.7643,67.8622,50.5640,154.3533,,,,267.4569,207.5785,,276.7714,150.3614
7:17:00,306.5667,161.6661,110.1724,237.1102,237.1102,,,237.1102,314.9494,252.6781,,,,,89.1523,303.3840,286.0858,314.9494,61.2091,54.5559,155.6839,,,,271.4489,195.6028,,279.4327,141.0470
7:18:00,310.1593,166.4562,122.1477,201.1844,380.8134,,,380.8134,318.5420,257.4682,,,,,113.1037,306.0453,292.7390,318.5420,55.8865,57.2172,157.0145,,,,274.1101,190.2803,,282.0939,133.0632
7:19:00,310.1593,166.4562,138.9131,226.3325,358.0604,,,358.0604,274.2335,261.0607,,,,,113.1037,311.3678,299.3921,274.2335,51.8946,61.2091,159.6758,,,,278.1020,167.6596,,292.7390,129.0713
7:20:00,311.3568,165.2586,160.4685,227.5300,479.0105,,,479.0105,262.2583,265.8509,,,,,131.7325,315.3597,303.3840,262.2583,47.9027,65.2010,162.3371,,,,284.7552,164.9983,,291.4083,125.0794
7:21:00,308.9618,166.4562,176.0364,476.6155,350.8752,,,350.8752,258.6657,267.0484,,,,,161.0064,319.3516,307.3759,258.6657,45.2415,70.5235,166.3290,,,,288.7471,184.9578,,299.3921,118.4262
7:22:00,306.5667,168.8512,195.1968,499.3685,446.6773,,,446.6773,301.7766,267.0484,,,,,164.9983,324.6741,308.7065,301.7766,41.2496,75.8460,168.9902,,,,291.4083,186.2884,,302.0534,113.1037
7:23:00,317.3445,171.2463,203.5795,461.0476,463.4427,,,463.4427,318.5420,273.0360,,,,,180.9659,327.3354,312.6984,318.5420,38.5883,82.4992,166.3290,,,,295.4002,208.9092,,307.3759,109.1118
