Kt*_C_NA_Nzi,ΔKt*_C_NA_Nzi,Kt*_Cy_NA_Nzi,ΔKt*_Cy_NA_Nzi,Kt*_I_NA_Nzi,ΔKt*_I_NA_Nzi,Kt*_AD_NA_Nzi,ΔKt*_AD_NA_Nzi
0.5566,-0.2822,0.0820,0.0020,0.7695,0.0017,0.5566,-0.2822
0.2744,-0.1539,0.0840,0.0048,0.7713,-0.0821,0.2744,-0.1539
0.1205,0.0284,0.0887,0.0031,0.6891,-0.1278,0.1205,0.0284
0.1490,-0.0108,0.0918,0.0004,0.5614,-0.2105,0.1490,-0.0108
0.1382,0.0372,0.0921,0.0122,0.3508,-0.1268,0.1382,0.0372
0.1754,0.1305,0.1043,0.0238,0.2240,0.0244,0.1754,0.1305
0.3059,0.0902,0.1281,0.0255,0.2484,0.1898,0.3059,0.0902
0.3961,-0.0497,0.1536,0.0129,0.4382,0.4396,0.3961,-0.0497
0.3464,-0.0153,0.1665,-0.0042,0.8777,-0.0716,0.3464,-0.0153
0.3311,0.0193,0.1624,0.0374,0.8061,-0.0122,0.3311,0.0193
0.3504,0.0068,0.1998,0.0351,0.7939,-0.0179,0.3504,0.0068
0.3572,0.0422,0.2348,0.0619,0.7760,-0.0240,0.3572,0.0422
0.3994,0.0250,0.2967,0.0978,0.7521,-0.0134,0.3994,0.0250
0.4243,0.0355,0.3945,0.0832,0.7386,-0.0243,0.4243,0.0355
0.4598,0.3313,0.4777,-0.0175,0.7144,-0.0982,0.4598,0.3313
0.7911,-0.1845,0.4603,0.0495,0.6162,0.0131,0.7911,-0.1845
0.6066,0.1570,0.5097,0.1103,0.6293,-0.0443,0.6066,0.1570
0.7636,-0.0968,0.6201,-0.0192,0.5850,-0.0857,0.7636,-0.0968
0.6668,-0.3188,0.6009,-0.0423,0.4993,-0.0521,0.6668,-0.3188
0.3479,0.5145,0.5586,0.0022,0.4472,-0.1220,0.3479,0.5145
0.8625,-0.1392,0.5608,-0.0649,0.3252,-0.1305,0.8625,-0.1392
0.7233,-0.0162,0.4959,-0.0394,0.1947,-0.0834,0.7233,-0.0162
0.7070,-0.0531,0.4565,-0.0441,0.1113,-0.0574,0.7070,-0.0531
0.6540,-0.3028,0.4124,-0.0582,0.0539,-0.0539,0.6540,-0.3028
0.3512,0.1798,0.3542,0.0003,0.1119,0.0197,0.3512,0.1798
0.5310,0.1746,0.3545,-0.0329,0.1316,0.0350,0.5310,0.1746
0.7056,-0.0328,0.3216,-0.0324,0.1666,0.0620,0.7056,-0.0328
0.6728,-0.0918,0.2892,-0.0099,0.2287,0.1721,0.6728,-0.0918
0.5809,-0.1338,0.2793,-0.0287,0.4008,0.0192,0.5809,-0.1338
0.4471,-0.0117,0.2506,-0.0446,0.4201,0.2315,0.4471,-0.0117
0.4355,-0.0483,0.2060,-0.0161,0.6516,0.0572,0.4355,-0.0483
0.3871,-0.1650,0.1899,0.0019,0.7088,-0.0788,0.3871,-0.1650
0.2222,-0.1396,0.1918,0.0160,0.6300,-0.1583,0.2222,-0.1396
0.0826,-0.0826,0.2078,0.0326,0.4717,-0.0563,0.0826,-0.0826
0.7696,-0.0254,0.2404,0.0191,0.4154,-0.0530,0.7696,-0.0254
0.7443,0.0541,0.2595,0.0237,0.3624,0.0127,0.7443,0.0541
0.7984,0.0226,0.2832,0.0144,0.3751,-0.0771,0.7984,0.0226
0.8210,0.1072,0.2976,0.0166,0.2980,0.0268,0.8210,0.1072
0.9283,-0.0882,0.3142,0.0085,0.3248,-0.0098,0.9283,-0.0882
0.8400,-0.3034,0.3227,0.0032,0.3150,-0.1546,0.8400,-0.3034
0.5367,0.0386,0.3259,0.0007,0.1604,-0.0284,0.5367,0.0386
0.5753,-0.0049,0.3266,-0.0102,0.1320,0.0358,0.5753,-0.0049
0.5704,0.3188,0.3164,-0.0473,0.1679,0.0129,0.5704,0.3188
0.8892,-0.3545,0.2692,-0.0340,0.1807,0.1197,0.8892,-0.3545
0.5347,-0.2787,0.2351,-0.0685,0.3005,0.0681,0.5347,-0.2787
0.2560,-0.0515,0.1667,-0.0683,0.3686,-0.1690,0.2560,-0.0515
0.2045,0.1052,0.2097,-0.0028,0.1996,-0.0151,0.2045,0.1052
0.3097,0.0093,,,0.1845,-0.0477,0.3097,0.0093
0.3190,-0.0474,,,0.1368,-0.0002,0.3190,-0.0474
0.2716,0.1004,,,0.1366,0.0286,0.2716,0.1004
0.3720,-0.0967,,,0.1652,0.0217,0.3720,-0.0967
0.2753,0.0255,,,0.1869,0.0284,0.2753,0.0255
0.3008,0.0042,,,0.2153,0.0352,0.3008,0.0042
0.3051,-0.0630,,,0.2505,0.1885,0.3051,-0.0630
0.2420,0.0673,,,0.4390,-0.0923,0.2420,0.0673
0.3094,0.0887,,,0.3467,0.0189,0.3094,0.0887
0.3980,0.0831,,,0.3655,0.1317,0.3980,0.0831
0.4811,0.3337,,,0.4972,-0.1645,0.4811,0.3337
0.8149,0.0955,,,0.3327,0.0138,0.8149,0.0955
0.9104,-0.0110,,,0.3465,0.0829,0.9104,-0.0110
0.8994,0.0567,,,0.4295,0.0131,0.8994,0.0567
0.9561,-0.0689,,,0.4425,-0.0238,0.9561,-0.0689
0.8872,-0.8872,,,0.4187,0.0662,0.8872,-0.8872
0.9200,-0.2881,,,0.4849,0.1145,0.9200,-0.2881
0.6318,0.1011,,,0.5994,-0.0390,0.6318,0.1011
0.7329,0.2686,,,0.5605,-0.1188,0.7329,0.2686
0.9562,-0.0122,,,0.3947,0.0228,0.9562,-0.0122
0.9439,0.0033,,,0.4175,0.2166,0.9439,0.0033
0.9472,0.0049,,,0.6341,0.2974,0.9472,0.0049
0.9522,-0.0427,,,0.9314,-0.1433,0.9522,-0.0427
0.9095,-0.0280,,,0.7881,-0.7881,0.9095,-0.0280
0.8815,-0.0533,,,0.9895,-0.1442,0.8815,-0.0533
0.8282,0.0560,,,0.8453,-0.3496,0.8282,0.0560
0.8842,0.0780,,,0.4957,0.0759,0.8842,0.0780
0.9621,-0.0312,,,0.5717,0.2705,0.9621,-0.0312
0.9309,0.0012,,,0.8421,-0.0400,0.9309,0.0012
0.9321,-0.0305,,,0.8022,-0.0062,0.9321,-0.0305
0.9017,0.0188,,,0.7959,-0.0760,0.9017,0.0188
0.9204,-0.0741,,,0.7200,-0.3341,0.9204,-0.0741
0.8463,0.0306,,,0.3859,0.0128,0.8463,0.0306
0.8769,-0.2521,,,0.3987,0.1825,0.8769,-0.2521
0.6247,0.0250,,,0.5812,0.1427,0.6247,0.0250
0.6497,0.0676,,,0.7239,-0.2660,0.6497,0.0676
0.7173,0.0668,,,0.4579,-0.1440,0.7173,0.0668
0.7840,-0.0577,,,0.3139,0.0008,0.7840,-0.0577
